id,amount,loan_id,repayment_date,fully_repayed_on
5204,30,158,25/01/2018 21:05,25/01/2018 21:05
5205,200,158,25/01/2018 21:09,25/01/2018 21:09
5206,850,158,25/01/2018 21:15,25/01/2018 21:15
5207,50,158,25/01/2018 21:18,25/01/2018 21:18
5208,980,555,31/01/2018 16:16,31/01/2018 16:16
5209,150,555,31/01/2018 16:20,31/01/2018 16:20
5210,1155,696,21/02/2018 13:12,21/02/2018 13:12
5211,980,4584,23/03/2018 23:53,23/03/2018 23:53
5212,150,4584,23/03/2018 23:54,23/03/2018 23:54
5213,1130,9043,28/03/2018 22:09,28/03/2018 22:09
5214,980,10115,13/04/2018 23:21,13/04/2018 23:21
5215,154,10115,20/04/2018 20:37,20/04/2018 20:37
5216,1130,10530,20/04/2018 20:42,20/04/2018 20:42
5217,1155,10531,08/05/2018 10:53,08/05/2018 10:53
5218,1155,12100,28/05/2018 16:57,28/05/2018 16:57
5219,1130,13126,28/05/2018 17:02,28/05/2018 17:02
5220,1130,13127,28/05/2018 17:22,28/05/2018 17:22
5221,1130,13128,28/05/2018 17:37,28/05/2018 17:37
5222,1130,13129,28/05/2018 17:59,28/05/2018 17:59
5223,1130,14146,03/07/2018 11:09,03/07/2018 11:09
5224,2450,166,03/03/2018 22:22,03/03/2018 22:22
5225,2450,6957,01/05/2018 10:40,01/05/2018 10:40
5226,1200,11599,06/06/2018 23:06,06/06/2018 23:06
5227,3390,13464,13/06/2018 22:20,13/06/2018 22:20
5228,3540,13704,04/07/2018 17:56,04/07/2018 17:56
5229,2400,765,23/02/2018 21:11,23/02/2018 21:11
5230,1130,174,28/01/2018 19:31,28/01/2018 19:31
5231,1120,195,04/02/2018 22:48,04/02/2018 22:48
5232,10,195,04/02/2018 22:50,04/02/2018 22:50
5233,25,195,04/02/2018 23:39,04/02/2018 23:39
5234,110,220,01/02/2018 8:23,01/02/2018 8:23
5235,220,220,02/02/2018 4:27,02/02/2018 4:27
5236,300,220,02/02/2018 22:12,02/02/2018 22:12
5237,500,220,03/02/2018 22:35,03/02/2018 22:35
5238,16,1527,01/03/2018 3:46,01/03/2018 3:46
5239,480,1527,02/03/2018 14:49,02/03/2018 14:49
5240,704,1527,03/03/2018 4:04,03/03/2018 4:04
5241,17,201,26/02/2018 1:49,26/02/2018 1:49
5242,200,214,29/01/2018 12:25,29/01/2018 12:25
5243,300,214,29/01/2018 12:26,29/01/2018 12:26
5244,630,214,31/01/2018 12:02,31/01/2018 12:02
5245,1130,219,05/02/2018 17:05,05/02/2018 17:05
5246,1155,1634,28/02/2018 17:47,28/02/2018 17:47
5247,1130,12492,21/05/2018 12:17,21/05/2018 12:17
5248,1130,13134,04/06/2018 19:03,04/06/2018 19:03
5249,1732,13466,18/06/2018 18:38,18/06/2018 18:38
5250,1,13466,18/06/2018 18:38,18/06/2018 18:38
5251,1700,13826,26/06/2018 12:25,26/06/2018 12:25
5252,33,13826,26/06/2018 12:57,26/06/2018 12:57
5253,1695,14036,02/07/2018 16:37,02/07/2018 16:37
5254,2320,14238,10/07/2018 20:01,10/07/2018 20:01
5255,2260,14444,16/07/2018 13:06,16/07/2018 13:06
5256,3,221,01/02/2018 18:41,01/02/2018 18:41
5257,97,221,03/02/2018 20:41,03/02/2018 20:41
5258,100,221,19/02/2018 15:37,19/02/2018 15:37
5259,1000,221,25/02/2018 22:47,25/02/2018 22:47
5260,86,6085,17/03/2018 0:00,17/03/2018 0:00
5261,10,6085,23/04/2018 23:38,23/04/2018 23:38
5262,200,6085,26/04/2018 13:35,26/04/2018 13:35
5263,310,6085,03/05/2018 1:17,03/05/2018 1:17
5264,144,6085,14/06/2018 13:12,14/06/2018 13:12
5265,50,6085,19/06/2018 19:59,19/06/2018 19:59
5266,49,6085,21/06/2018 4:54,21/06/2018 4:54
5267,154,6085,22/06/2018 14:45,22/06/2018 14:45
5268,18,6085,25/06/2018 23:46,25/06/2018 23:46
5269,75,6085,02/07/2018 23:11,02/07/2018 23:11
5270,50,6085,09/07/2018 13:20,09/07/2018 13:20
5271,30,6085,10/07/2018 0:20,10/07/2018 0:20
5272,49,6085,20/07/2018 3:55,20/07/2018 3:55
5273,1160,3044,28/02/2018 14:56,28/02/2018 14:56
5274,1205,6122,26/04/2018 18:40,26/04/2018 18:40
5275,1130,225,01/02/2018 15:32,01/02/2018 15:32
5276,1130,5500,05/03/2018 12:48,05/03/2018 12:48
5277,1130,9414,08/04/2018 21:52,08/04/2018 21:52
5278,1695,10595,27/04/2018 23:10,27/04/2018 23:10
5279,1695,11369,07/05/2018 15:26,07/05/2018 15:26
5280,1130,12468,22/05/2018 13:41,22/05/2018 13:41
5281,1130,13276,08/06/2018 18:23,08/06/2018 18:23
5282,1155,13551,19/06/2018 16:24,19/06/2018 16:24
5283,1155,862,09/03/2018 17:40,09/03/2018 17:40
5284,1155,240,25/02/2018 15:02,25/02/2018 15:02
5285,1185,5153,10/04/2018 14:20,10/04/2018 14:20
